"X","city","country","iso3c","ols_cohort","latitude","longitude"
"kipkurui","","Kenya","KEN","OLS_5",NA,NA
"kipkurui","","Kenya","KEN","OLS_6",NA,NA
"kiragu-mwaura","","Kenya","KEN","OLS_1",NA,NA
"kiri93","","Switzerland","CHE","OLS_2",NA,NA
"kirstiejane","","United Kingdom","GBR","OLS_1",NA,NA
"kirstiejane","","United Kingdom","GBR","OLS_2",NA,NA
"koudyk","","Canada","CAN","OLS_2",NA,NA
"kristinariemer","","United States","USA","OLS_1",NA,NA
"laurichi13","","Spain","ESP","OLS_2",NA,NA
"lazycipher","","India","IND","OLS_1",NA,NA
"lilian9","","Kenya","KEN","OLS_1",NA,NA
"lilian9","","Kenya","KEN","OLS_2",NA,NA
"lpantano","","Spain","ESP","OLS_2",NA,NA
"magicmilly","","United States","USA","OLS_1",NA,NA
"martenson","","Czech Republic","CZE","OLS_2",NA,NA
"matuskalas","","Norway","NOR","OLS_1",NA,NA
"mblue9","","Australia","AUS","OLS_2",NA,NA
"mesfind","","Ethiopia","ETH","OLS_2",NA,NA
"mkuzak","","The Netherlands","NLD","OLS_1",NA,NA
"mkuzak","","The Netherlands","NLD","OLS_2",NA,NA
"mloning","","United Kingdom","GBR","OLS_2",NA,NA
"morphofun","","United States","USA","OLS_1",NA,NA
"mruizvelley","","Germany","DEU","OLS_1",NA,NA
"muhammetcelik","","Turkey","TUR","OLS_2",NA,NA
"muhammetcelik","","Turkey","TUR","OLS_3",NA,NA
"muhammetcelik","","Turkey","TUR","OLS_5",NA,NA
"mvdbeek","","France","FRA","OLS_1",NA,NA
"myreille-larouche","","Canada","CAN","OLS_2",NA,NA
"naralb","","Brazil","BRA","OLS_1",NA,NA
"natty2012","","Kenya","KEN","OLS_2",NA,NA
"nehamoopen","","The Netherlands","NLD","OLS_2",NA,NA
"nerantzis","","Greece","GRC","OLS_1",NA,NA
"nerantzis","","Greece","GRC","OLS_2",NA,NA
"nick-barlow","","United Kingdom","GBR","OLS_4",NA,NA
"npscience","","United Kingdom","GBR","OLS_1",NA,NA
"npscience","","United Kingdom","GBR","OLS_2",NA,NA
"npscience","","United Kingdom","GBR","OLS_4",NA,NA
"nsoranzo","","United Kingdom","GBR","OLS_1",NA,NA
"orchid00","","Australia","AUS","OLS_1",NA,NA
"orchid00","","Australia","AUS","OLS_2",NA,NA
"paulineligonie","","Canada","CAN","OLS_2",NA,NA
"paulowoicho","","Nigeria","NGA","OLS_2",NA,NA
"paulvill","","France","FRA","OLS_2",NA,NA
"pazbc","","Argentina","ARG","OLS_5",NA,NA
"pazbc","","Argentina","ARG","OLS_6",NA,NA
"pradeep-eranti","","France","FRA","OLS_2",NA,NA
"pvanheus","","South Africa","ZAF","OLS_2",NA,NA
"pvanheus","","South Africa","ZAF","OLS_6",NA,NA
"rgaiacs","","Brazil","BRA","OLS_2",NA,NA
"rgaiacs","","Brazil","BRA","OLS_5",NA,NA
"rodrigocam","","Brazil","BRA","OLS_1",NA,NA
"rossmounce","","United Kingdom","GBR","OLS_2",NA,NA
"rowland-mosbergen","","Australia","AUS","OLS_3",NA,NA
"rowland-mosbergen","","Australia","AUS","OLS_5",NA,NA
"rushda-patel","","India","IND","OLS_6",NA,NA
"samguay","","Canada","CAN","OLS_1",NA,NA
"samguay","","Canada","CAN","OLS_2",NA,NA
"samuelorion","","Canada","CAN","OLS_2",NA,NA
"satagopam7","","Luxembourg","LUX","OLS_1",NA,NA
"sdopoku","","Ghana","GHA","OLS_2",NA,NA
"sebastianeggert","","Germany","DEU","OLS_2",NA,NA
"sithyphus","","United States","USA","OLS_1",NA,NA
"sk-sahu","","India","IND","OLS_2",NA,NA
"sonibk","","Kenya","KEN","OLS_2",NA,NA
"stefan-gaillard","","Netherlands","NLD","OLS_2",NA,NA
"sudarshangc","","Nepal","NPL","OLS_1",NA,NA
"susana465","","United Kingdom","GBR","OLS_6",NA,NA
"tklingstrom","","Sweden","SWE","OLS_2",NA,NA
"tnabtaf","","United States","USA","OLS_2",NA,NA
"tnabtaf","","United States","USA","OLS_4",NA,NA
"valerie-parent","","Canada","CAN","OLS_2",NA,NA
"vcheplygina","","Netherlands","NLD","OLS_2",NA,NA
"vickynembaware","","South Africa","ZAF","OLS_1",NA,NA
"vickynembaware","","South Africa","ZAF","OLS_2",NA,NA
"wasifarahman","","Bangladesh","BGD","OLS_2",NA,NA
"yochannah","","United Kingdom","GBR","OLS_1",NA,NA
"yochannah","","United Kingdom","GBR","OLS_2",NA,NA
"yochannah","","United Kingdom","GBR","OLS_3",NA,NA
"yochannah","","United Kingdom","GBR","OLS_4",NA,NA
"yochannah","","United Kingdom","GBR","OLS_5",NA,NA
"yochannah","","United Kingdom","GBR","OLS_6",NA,NA
"zebetus","","United Kingdom","GBR","OLS_1",NA,NA
"zebetus","","United Kingdom","GBR","OLS_2",NA,NA
"ariana-bethany-subroyen","","",NA,"OLS_6",NA,NA
"aurigandrea","","",NA,"OLS_5",NA,NA
"biscuitnapper","","",NA,"OLS_4",NA,NA
"bresearcher101","","",NA,"OLS_6",NA,NA
"cassmurph","","",NA,"OLS_6",NA,NA
"chiara-damiani","","",NA,"OLS_3",NA,NA
"gugy89","","",NA,"OLS_5",NA,NA
"harisood","","",NA,"OLS_6",NA,NA
"lenny-teytelman","","",NA,"OLS_3",NA,NA
"megan-lisa-stock","","",NA,"OLS_6",NA,NA
"moengels","","",NA,"OLS_6",NA,NA
"nickynicolson","","",NA,"OLS_6",NA,NA
"nilabha1512","","",NA,"OLS_6",NA,NA
"nina-roux","","",NA,"OLS_6",NA,NA
"npch","","",NA,"OLS_3",NA,NA
"pol-arranz-gibert","","",NA,"OLS_6",NA,NA
"rhoné-roux","","",NA,"OLS_6",NA,NA
"sgsfak","","",NA,"OLS_3",NA,NA
"tallmar","","",NA,"OLS_6",NA,NA
"umar-farouk-ahmad","","",NA,"OLS_6",NA,NA
"usmood","","",NA,"OLS_6",NA,NA
